-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,21,20,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,2,2,2,21,20,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,-1,-1,-1,-1,-1,-1,-1,-1,11,22,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,12,23,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,11,2,2,22,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,0,-1,0,-1,-1,12,2,2,23,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,3,-1,-1,11,2,2,2,2,22,-1,1,16,-1,-1,-1
-1,-1,-1,-1,-1,1,-1,-1,12,2,2,2,2,23,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,4,-1,11,2,2,2,2,2,2,22,-1,-1,-1,0,-1
-1,-1,-1,-1,-1,3,-1,12,2,2,2,2,2,2,23,-1,-1,-1,4,-1
0,0,0,0,0,4,0,2,2,2,2,2,2,2,2,3,3,0,1,0
2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,5,5,2,2,2
